Hashes	sum.taxonomy
merged_vp2_Metazoa_16s_183	Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus
merged_vp2_Metazoa_16s_707	Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus
merged_vp2_Metazoa_16s_149	Eukaryota;Chordata;Aves;Galliformes;Phasianidae;;
merged_vp2_Metazoa_16s_481	Eukaryota;Chordata;Aves;Charadriiformes;;;
merged_vp2_Metazoa_16s_539	Eukaryota;Chordata;Aves;Anseriformes;Anatidae;;
merged_vp2_Metazoa_16s_136	Eukaryota;Chordata;Aves;;;;
forward_vp2_Metazoa_16s_475	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;Spea hammondii
forward_vp2_Metazoa_16s_497	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;Spea hammondii
forward_vp2_Metazoa_16s_2	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_16	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_25	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_29	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_40	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_46	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_54	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_74	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_108	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_125	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_142	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
